Pokemon_ID,Name,Height,Weight,Base_HP,Base_Attack,Base_Defense,base_special-attack,base_special-defense,Base_Speed,Primary Type,Secondary Type,Generation_Region,Generation_Number,Can_Evolve,Number_of_Evolutions,Is_Final_Form
1,bulbasaur,7,69,45,49,49,65,65,45,Grass,poison,Kanto,1,Yes,2,No
2,ivysaur,10,130,60,62,63,80,80,60,Grass,poison,Kanto,1,Yes,1,No
3,venusaur,20,1000,80,82,83,100,100,80,Grass,poison,Kanto,1,No,0,Yes
4,charmander,6,85,39,52,43,60,50,65,Fire,,Kanto,1,Yes,2,No
5,charmeleon,11,190,58,64,58,80,65,80,Fire,,Kanto,1,Yes,1,No
6,charizard,17,905,78,84,78,109,85,100,Fire,flying,Kanto,1,No,0,Yes
7,squirtle,5,90,44,48,65,50,64,43,Water,,Kanto,1,Yes,2,No
8,wartortle,10,225,59,63,80,65,80,58,Water,,Kanto,1,Yes,1,No
9,blastoise,16,855,79,83,100,85,105,78,Water,,Kanto,1,No,0,Yes
10,caterpie,3,29,45,30,35,20,20,45,Bug,,Kanto,1,Yes,2,No
11,metapod,7,99,50,20,55,25,25,30,Bug,,Kanto,1,Yes,1,No
12,butterfree,11,320,60,45,50,90,80,70,Bug,flying,Kanto,1,No,0,Yes
13,weedle,3,32,40,35,30,20,20,50,Bug,poison,Kanto,1,Yes,2,No
14,kakuna,6,100,45,25,50,25,25,35,Bug,poison,Kanto,1,Yes,1,No
15,beedrill,10,295,65,90,40,45,80,75,Bug,poison,Kanto,1,No,0,Yes
16,pidgey,3,18,40,45,40,35,35,56,Normal,flying,Kanto,1,Yes,2,No
17,pidgeotto,11,300,63,60,55,50,50,71,Normal,flying,Kanto,1,Yes,1,No
18,pidgeot,15,395,83,80,75,70,70,101,Normal,flying,Kanto,1,No,0,Yes
19,rattata,3,35,30,56,35,25,35,72,Normal,,Kanto,1,Yes,1,No
20,raticate,7,185,55,81,60,50,70,97,Normal,,Kanto,1,No,0,Yes
21,spearow,3,20,40,60,30,31,31,70,Normal,flying,Kanto,1,Yes,1,No
22,fearow,12,380,65,90,65,61,61,100,Normal,flying,Kanto,1,No,0,Yes
23,ekans,20,69,35,60,44,40,54,55,Poison,,Kanto,1,Yes,1,No
24,arbok,35,650,60,95,69,65,79,80,Poison,,Kanto,1,No,0,Yes
25,pikachu,4,60,35,55,40,50,50,90,Electric,,Kanto,1,Yes,1,No
26,raichu,8,300,60,90,55,90,80,110,Electric,,Kanto,1,No,0,Yes
27,sandshrew,6,120,50,75,85,20,30,40,Ground,,Kanto,1,Yes,1,No
28,sandslash,10,295,75,100,110,45,55,65,Ground,,Kanto,1,No,0,Yes
29,nidoran-f,4,70,55,47,52,40,40,41,Poison,,Kanto,1,Yes,2,No
30,nidorina,8,200,70,62,67,55,55,56,Poison,,Kanto,1,Yes,1,No
31,nidoqueen,13,600,90,92,87,75,85,76,Poison,ground,Kanto,1,No,0,Yes
32,nidoran-m,5,90,46,57,40,40,40,50,Poison,,Kanto,1,Yes,2,No
33,nidorino,9,195,61,72,57,55,55,65,Poison,,Kanto,1,Yes,1,No
34,nidoking,14,620,81,102,77,85,75,85,Poison,ground,Kanto,1,No,0,Yes
35,clefairy,6,75,70,45,48,60,65,35,Fairy,,Kanto,1,Yes,1,No
36,clefable,13,400,95,70,73,95,90,60,Fairy,,Kanto,1,No,0,Yes
37,vulpix,6,99,38,41,40,50,65,65,Fire,,Kanto,1,Yes,1,No
38,ninetales,11,199,73,76,75,81,100,100,Fire,,Kanto,1,No,0,Yes
39,jigglypuff,5,55,115,45,20,45,25,20,Normal,fairy,Kanto,1,Yes,1,No
40,wigglytuff,10,120,140,70,45,85,50,45,Normal,fairy,Kanto,1,No,0,Yes
41,zubat,8,75,40,45,35,30,40,55,Poison,flying,Kanto,1,Yes,1,No
42,golbat,16,550,75,80,70,65,75,90,Poison,flying,Kanto,1,No,0,Yes
43,oddish,5,54,45,50,55,75,65,30,Grass,poison,Kanto,1,Yes,2,No
44,gloom,8,86,60,65,70,85,75,40,Grass,poison,Kanto,1,Yes,1,No
